=================================
     Train and test QA model     
=================================
Start training...
step 1 | Training...
step 2 | Training...
step 3 | Training...
step 4 | Training...
step 5 | Training...
step 133 | Training...
step 134 | Training...
step 135 | Training...
step 136 | Training...
step 137 | Training...
step 138 | Training...
step 139 | Training...
step 140 | Training...
step 141 | Training...
step 142 | Training...
step 143 | Training...
step 144 | Training...
step 145 | Training...
step 146 | Training...
step 147 | Training...
step 148 | Training...
step 149 | Training...
step 150 | Training...
step 151 | Training...
step 152 | Training...
step 153 | Training...
step 154 | Training...
step 155 | Training...
step 156 | Training...
step 157 | Training...
step 158 | Training...
step 159 | Training...
step 160 | Training...
step 161 | Training...
step 162 | Training...
step 163 | Training...
step 164 | Training...
step 165 | Training...
step 166 | Training...
step 167 | Training...
step 168 | Training...
step 169 | Training...
step 170 | Training...
step 171 | Training...
step 172 | Training...
step 173 | Training...
step 174 | Training...
step 175 | Training...
step 176 | Training...
step 177 | Training...
step 178 | Training...
step 179 | Training...
step 180 | Training...
step 181 | Training...
step 182 | Training...
step 183 | Training...
step 184 | Training...
step 185 | Training...
step 186 | Training...
step 187 | Training...
step 188 | Training...
step 189 | Training...
step 190 | Training...
step 191 | Training...
step 192 | Training...
step 193 | Training...
step 194 | Training...
step 195 | Training...
step 196 | Training...
step 197 | Training...
step 198 | Training...
step 199 | Training...
step 200 | Training...
step 201 | Training...
step 202 | Training...
step 203 | Training...
step 204 | Training...
step 205 | Training...
step 206 | Training...
step 207 | Training...
step 208 | Training...
step 209 | Training...
step 210 | Training...
step 211 | Training...
step 212 | Training...
step 213 | Training...
step 214 | Training...
step 215 | Training...
step 216 | Training...
step 217 | Training...
step 218 | Training...
step 219 | Training...
step 220 | Training...
step 221 | Training...
step 222 | Training...
step 223 | Training...
step 224 | Training...
step 225 | Training...
step 226 | Training...
step 227 | Training...
step 228 | Training...
step 229 | Training...
step 230 | Training...
step 231 | Training...
step 232 | Training...
step 233 | Training...
step 234 | Training...
step 235 | Training...
step 236 | Training...
step 237 | Training...
step 238 | Training...
step 239 | Training...
step 240 | Training...
step 241 | Training...
step 242 | Training...
step 243 | Training...
step 244 | Training...
step 245 | Training...
step 246 | Training...
step 247 | Training...
step 248 | Training...
step 249 | Training...
step 250 | Training...
step 251 | Training...
step 252 | Training...
step 253 | Training...
step 254 | Training...
step 255 | Training...
step 256 | Training...
step 257 | Training...
step 258 | Training...
step 259 | Training...
step 260 | Training...
step 261 | Training...
step 262 | Training...
step 263 | Training...
step 264 | Training...
step 265 | Training...
step 266 | Training...
step 267 | Training...
step 268 | Training...
step 269 | Training...
step 270 | Training...
step 271 | Training...
step 272 | Training...
step 273 | Training...
step 274 | Training...
step 275 | Training...
step 276 | Training...
step 277 | Training...
step 278 | Training...
step 279 | Training...
step 280 | Training...
step 281 | Training...
step 282 | Training...
step 283 | Training...
step 284 | Training...
step 285 | Training...
step 286 | Training...
step 287 | Training...
step 288 | Training...
step 289 | Training...
step 290 | Training...
step 291 | Training...
step 292 | Training...
step 293 | Training...
step 294 | Training...
step 295 | Training...
step 296 | Training...
step 297 | Training...
step 298 | Training...
step 299 | Training...
step 300 | Training...
step 301 | Training...
step 302 | Training...
step 303 | Training...
step 304 | Training...
step 305 | Training...
step 306 | Training...
step 307 | Training...
step 308 | Training...
step 309 | Training...
step 310 | Training...
step 311 | Training...
step 312 | Training...
step 313 | Training...
step 314 | Training...
step 315 | Training...
step 316 | Training...
step 317 | Training...
step 318 | Training...
step 319 | Training...
step 320 | Training...
step 321 | Training...
step 322 | Training...
step 323 | Training...
step 324 | Training...
step 325 | Training...
step 326 | Training...
step 327 | Training...
step 328 | Training...
step 329 | Training...
step 330 | Training...
step 331 | Training...
step 332 | Training...
step 333 | Training...
step 334 | Training...
step 335 | Training...
step 336 | Training...
step 337 | Training...
step 338 | Training...
step 339 | Training...
step 340 | Training...
step 341 | Training...
step 342 | Training...
step 343 | Training...
step 344 | Training...
step 345 | Training...
step 346 | Training...
step 347 | Training...
step 348 | Training...
step 349 | Training...
step 350 | Training...
step 351 | Training...
step 352 | Training...
step 353 | Training...
step 354 | Training...
step 355 | Training...
step 356 | Training...
step 357 | Training...
step 358 | Training...
step 359 | Training...
step 360 | Training...
step 361 | Training...
step 362 | Training...
step 363 | Training...
step 364 | Training...
step 365 | Training...
step 366 | Training...
step 367 | Training...
step 368 | Training...
step 369 | Training...
step 370 | Training...
step 371 | Training...
step 372 | Training...
step 373 | Training...
step 374 | Training...
step 375 | Training...
step 376 | Training...
step 377 | Training...
step 378 | Training...
step 379 | Training...
step 380 | Training...
step 381 | Training...
step 382 | Training...
step 383 | Training...
step 384 | Training...
step 385 | Training...
step 386 | Training...
step 387 | Training...
step 388 | Training...
step 389 | Training...
step 390 | Training...
step 391 | Training...
step 392 | Training...
step 393 | Training...
step 394 | Training...
step 395 | Training...
step 396 | Training...
step 397 | Training...
step 398 | Training...
step 399 | Training...
step 400 | Training...
step 401 | Training...
step 402 | Training...
step 403 | Training...
step 404 | Training...
step 405 | Training...
step 406 | Training...
step 407 | Training...
step 408 | Training...
step 409 | Training...
step 410 | Training...
step 411 | Training...
step 412 | Training...
step 413 | Training...
step 414 | Training...
step 415 | Training...
step 416 | Training...
step 417 | Training...
step 418 | Training...
step 419 | Training...
step 420 | Training...
step 421 | Training...
step 422 | Training...
step 423 | Training...
step 424 | Training...
step 425 | Training...
step 426 | Training...
step 427 | Training...
step 428 | Training...
step 429 | Training...
step 430 | Training...
step 431 | Training...
step 432 | Training...
step 433 | Training...
step 434 | Training...
step 435 | Training...
step 436 | Training...
step 437 | Training...
step 438 | Training...
step 439 | Training...
step 440 | Training...
step 441 | Training...
step 442 | Training...
step 443 | Training...
step 444 | Training...
step 445 | Training...
step 446 | Training...
step 447 | Training...
step 448 | Training...
step 449 | Training...
step 450 | Training...
step 451 | Training...
step 452 | Training...
step 453 | Training...
step 454 | Training...
step 455 | Training...
step 456 | Training...
step 457 | Training...
step 458 | Training...
step 459 | Training...
step 460 | Training...
step 461 | Training...
step 462 | Training...
step 463 | Training...
step 464 | Training...
step 465 | Training...
step 466 | Training...
step 467 | Training...
step 468 | Training...
step 469 | Training...
step 470 | Training...
step 471 | Training...
step 472 | Training...
step 473 | Training...
step 474 | Training...
step 475 | Training...
step 476 | Training...
step 477 | Training...
step 478 | Training...
step 479 | Training...
step 480 | Training...
step 481 | Training...
step 482 | Training...
step 483 | Training...
step 484 | Training...
step 485 | Training...
step 486 | Training...
step 487 | Training...
step 488 | Training...
step 489 | Training...
step 490 | Training...
step 491 | Training...
step 492 | Training...
step 493 | Training...
step 494 | Training...
step 495 | Training...
step 496 | Training...
step 497 | Training...
step 498 | Training...
step 499 | Training...
step 500 | Training...
step 501 | Training...
step 502 | Training...
step 503 | Training...
step 504 | Training...
step 505 | Training...
step 506 | Training...
step 507 | Training...
step 508 | Training...
step 509 | Training...
step 510 | Training...
step 511 | Training...
step 512 | Training...
step 513 | Training...
step 514 | Training...
step 515 | Training...
step 516 | Training...
step 517 | Training...
step 518 | Training...
step 519 | Training...
step 520 | Training...
step 521 | Training...
step 522 | Training...
step 523 | Training...
step 524 | Training...
step 525 | Training...
step 526 | Training...
step 527 | Training...
step 528 | Training...
step 529 | Training...
step 530 | Training...
step 531 | Training...
step 532 | Training...
step 533 | Training...
step 534 | Training...
step 535 | Training...
step 536 | Training...
step 537 | Training...
step 538 | Training...
step 539 | Training...
step 540 | Training...
step 541 | Training...
step 542 | Training...
step 543 | Training...
step 544 | Training...
step 545 | Training...
step 546 | Training...
step 547 | Training...
step 548 | Training...
step 549 | Training...
step 550 | Training...
step 551 | Training...
step 552 | Training...
step 553 | Training...
step 554 | Training...
step 555 | Training...
step 556 | Training...
step 557 | Training...
step 558 | Training...
step 559 | Training...
step 560 | Training...
step 561 | Training...
step 562 | Training...
step 563 | Training...
step 564 | Training...
step 565 | Training...
step 566 | Training...
step 567 | Training...
step 568 | Training...
step 569 | Training...
step 570 | Training...
step 571 | Training...
step 572 | Training...
step 573 | Training...
step 574 | Training...
step 575 | Training...
step 576 | Training...
step 577 | Training...
step 578 | Training...
step 579 | Training...
step 580 | Training...
step 581 | Training...
step 582 | Training...
step 583 | Training...
step 584 | Training...
step 585 | Training...
step 586 | Training...
step 587 | Training...
step 588 | Training...
step 589 | Training...
step 590 | Training...
step 591 | Training...
step 592 | Training...
step 593 | Training...
step 594 | Training...
step 595 | Training...
step 596 | Training...
step 597 | Training...
step 598 | Training...
step 599 | Training...
step 600 | Training...
step 601 | Training...
step 602 | Training...
step 603 | Training...
step 604 | Training...
step 605 | Training...
step 606 | Training...
step 607 | Training...
step 608 | Training...
step 609 | Training...
step 610 | Training...
step 611 | Training...
step 612 | Training...
step 613 | Training...
step 614 | Training...
step 615 | Training...
step 616 | Training...
step 617 | Training...
step 618 | Training...
step 619 | Training...
step 620 | Training...
step 621 | Training...
step 622 | Training...
step 623 | Training...
step 624 | Training...
step 625 | Training...
step 626 | Training...
step 627 | Training...
step 628 | Training...
step 629 | Training...
step 630 | Training...
step 631 | Training...
step 632 | Training...
step 633 | Training...
step 634 | Training...
step 635 | Training...
step 636 | Training...
step 637 | Training...
step 638 | Training...
step 639 | Training...
step 640 | Training...
step 641 | Training...
step 642 | Training...
step 643 | Training...
step 644 | Training...
step 645 | Training...
step 646 | Training...
step 647 | Training...
step 648 | Training...
step 649 | Training...
step 650 | Training...
step 651 | Training...
step 652 | Training...
step 653 | Training...
step 654 | Training...
step 655 | Training...
step 656 | Training...
step 657 | Training...
step 658 | Training...
step 659 | Training...
step 660 | Training...
step 661 | Training...
step 662 | Training...
step 663 | Training...
step 664 | Training...
step 665 | Training...
step 666 | Training...
step 667 | Training...
step 668 | Training...
step 669 | Training...
step 670 | Training...
step 671 | Training...
step 672 | Training...
step 673 | Training...
step 674 | Training...
step 675 | Training...
step 676 | Training...
step 677 | Training...
step 678 | Training...
step 679 | Training...
step 680 | Training...
step 681 | Training...
step 682 | Training...
step 683 | Training...
step 684 | Training...
step 685 | Training...
step 686 | Training...
step 687 | Training...
step 688 | Training...
step 689 | Training...
step 690 | Training...
step 691 | Training...
step 692 | Training...
step 693 | Training...
step 694 | Training...
step 695 | Training...
step 696 | Training...
step 697 | Training...
step 698 | Training...
step 699 | Training...
step 700 | Training...
step 701 | Training...
step 702 | Training...
step 703 | Training...
step 704 | Training...
step 705 | Training...
step 706 | Training...
step 707 | Training...
step 708 | Training...
step 709 | Training...
step 710 | Training...
step 711 | Training...
step 712 | Training...
step 713 | Training...
step 714 | Training...
step 715 | Training...
step 716 | Training...
step 717 | Training...
step 718 | Training...
step 719 | Training...
step 720 | Training...
step 721 | Training...
step 722 | Training...
step 723 | Training...
step 724 | Training...
step 725 | Training...
step 726 | Training...
step 727 | Training...
step 728 | Training...
step 729 | Training...
step 730 | Training...
step 731 | Training...
step 732 | Training...
step 733 | Training...
step 734 | Training...
step 735 | Training...
step 736 | Training...
step 737 | Training...
step 738 | Training...
step 739 | Training...
step 740 | Training...
step 741 | Training...
step 742 | Training...
step 743 | Training...
step 744 | Training...
step 745 | Training...
step 746 | Training...
step 747 | Training...
step 748 | Training...
step 749 | Training...
step 750 | Training...
step 751 | Training...
step 752 | Training...
step 753 | Training...
step 754 | Training...
step 755 | Training...
step 756 | Training...
step 757 | Training...
step 758 | Training...
step 759 | Training...
step 760 | Training...
step 761 | Training...
step 762 | Training...
step 763 | Training...
step 764 | Training...
step 765 | Training...
step 766 | Training...
step 767 | Training...
step 768 | Training...
step 769 | Training...
step 770 | Training...
step 771 | Training...
step 772 | Training...
step 773 | Training...
step 774 | Training...
step 775 | Training...
step 776 | Training...
step 777 | Training...
step 778 | Training...
step 779 | Training...
step 780 | Training...
step 781 | Training...
step 782 | Training...
step 783 | Training...
step 784 | Training...
step 785 | Training...
step 786 | Training...
step 787 | Training...
step 788 | Training...
step 789 | Training...
step 790 | Training...
step 791 | Training...
step 792 | Training...
step 793 | Training...
step 794 | Training...
step 795 | Training...
step 796 | Training...
step 797 | Training...
step 798 | Training...
step 799 | Training...
step 800 | Training...
step 801 | Training...
step 802 | Training...
step 803 | Training...
step 804 | Training...
step 805 | Training...
step 806 | Training...
step 807 | Training...
step 808 | Training...
step 809 | Training...
step 810 | Training...
step 811 | Training...
step 812 | Training...
step 813 | Training...
step 814 | Training...
step 815 | Training...
step 816 | Training...
step 817 | Training...
step 818 | Training...
step 819 | Training...
step 820 | Training...
step 821 | Training...
step 822 | Training...
step 823 | Training...
step 824 | Training...
step 825 | Training...
step 826 | Training...
step 827 | Training...
step 828 | Training...
step 829 | Training...
step 830 | Training...
step 831 | Training...
step 832 | Training...
step 833 | Training...
step 834 | Training...
step 835 | Training...
step 836 | Training...
step 837 | Training...
step 838 | Training...
step 839 | Training...
step 840 | Training...
step 841 | Training...
step 842 | Training...
step 843 | Training...
step 844 | Training...
step 845 | Training...
step 846 | Training...
step 847 | Training...
step 848 | Training...
step 849 | Training...
step 850 | Training...
step 851 | Training...
step 852 | Training...
step 853 | Training...
step 854 | Training...
step 855 | Training...
step 856 | Training...
step 857 | Training...
step 858 | Training...
step 859 | Training...
step 860 | Training...
step 861 | Training...
step 862 | Training...
step 863 | Training...
step 864 | Training...
step 865 | Training...
step 866 | Training...
step 867 | Training...
step 868 | Training...
step 869 | Training...
step 870 | Training...
step 871 | Training...
step 872 | Training...
step 873 | Training...
step 874 | Training...
step 875 | Training...
step 876 | Training...
step 877 | Training...
step 878 | Training...
step 879 | Training...
step 880 | Training...
step 881 | Training...
step 882 | Training...
step 883 | Training...
step 884 | Training...
step 885 | Training...
step 886 | Training...
step 887 | Training...
step 888 | Training...
step 889 | Training...
step 890 | Training...
step 891 | Training...
step 892 | Training...
step 893 | Training...
step 894 | Training...
step 895 | Training...
step 896 | Training...
step 897 | Training...
step 898 | Training...
step 899 | Training...
step 900 | Training...
step 901 | Training...
step 902 | Training...
step 903 | Training...
step 904 | Training...
step 905 | Training...
step 906 | Training...
step 907 | Training...
step 908 | Training...
step 909 | Training...
step 910 | Training...
step 911 | Training...
step 912 | Training...
step 913 | Training...
step 914 | Training...
step 915 | Training...
step 916 | Training...
step 917 | Training...
step 918 | Training...
step 919 | Training...
step 920 | Training...
step 921 | Training...
step 922 | Training...
step 923 | Training...
step 924 | Training...
step 925 | Training...
step 926 | Training...
step 927 | Training...
step 928 | Training...
step 929 | Training...
step 930 | Training...
step 931 | Training...
step 932 | Training...
step 933 | Training...
step 934 | Training...
step 935 | Training...
step 936 | Training...
step 937 | Training...
step 938 | Training...
step 939 | Training...
step 940 | Training...
step 941 | Training...
step 942 | Training...
step 943 | Training...
step 944 | Training...
step 945 | Training...
step 946 | Training...
step 947 | Training...
step 948 | Training...
step 949 | Training...
step 950 | Training...
step 951 | Training...
step 952 | Training...
step 953 | Training...
step 954 | Training...
step 955 | Training...
step 956 | Training...
step 957 | Training...
step 958 | Training...
step 959 | Training...
step 960 | Training...
step 961 | Training...
step 962 | Training...
step 963 | Training...
step 964 | Training...
step 965 | Training...
step 966 | Training...
step 967 | Training...
step 968 | Training...
step 969 | Training...
step 970 | Training...
step 971 | Training...
step 972 | Training...
step 973 | Training...
step 974 | Training...
step 975 | Training...
step 976 | Training...
step 977 | Training...
step 978 | Training...
step 979 | Training...
step 980 | Training...
step 981 | Training...
step 982 | Training...
step 983 | Training...
step 984 | Training...
step 985 | Training...
step 986 | Training...
step 987 | Training...
step 988 | Training...
step 989 | Training...
step 990 | Training...
step 991 | Training...
step 992 | Training...
step 993 | Training...
step 994 | Training...
step 995 | Training...
step 996 | Training...
step 997 | Training...
step 998 | Training...
step 999 | Training...
step 1000 | Training...
step 1001 | Training...
step 1002 | Training...
step 1003 | Training...
step 1004 | Training...
step 1005 | Training...
step 1006 | Training...
step 1007 | Training...
step 1008 | Training...
step 1009 | Training...
step 1010 | Training...
step 1011 | Training...
step 1012 | Training...
step 1013 | Training...
step 1014 | Training...
step 1015 | Training...
step 1016 | Training...
step 1017 | Training...
step 1018 | Training...
step 1019 | Training...
step 1020 | Training...
step 1021 | Training...
step 1022 | Training...
step 1023 | Training...
step 1024 | Training...
step 1025 | Training...
step 1026 | Training...
step 1027 | Training...
step 1028 | Training...
step 1029 | Training...
step 1030 | Training...
step 1031 | Training...
step 1032 | Training...
step 1033 | Training...
step 1034 | Training...
step 1035 | Training...
step 1036 | Training...
step 1037 | Training...
step 1038 | Training...
step 1039 | Training...
step 1040 | Training...
step 1041 | Training...
step 1042 | Training...
step 1043 | Training...
step 1044 | Training...
step 1045 | Training...
step 1046 | Training...
step 1047 | Training...
step 1048 | Training...
step 1049 | Training...
step 1050 | Training...
step 1051 | Training...
step 1052 | Training...
step 1053 | Training...
step 1054 | Training...
step 1055 | Training...
step 1056 | Training...
step 1057 | Training...
step 1058 | Training...
step 1059 | Training...
step 1060 | Training...
step 1061 | Training...
step 1062 | Training...
step 1063 | Training...
step 1064 | Training...
step 1065 | Training...
step 1066 | Training...
step 1067 | Training...
step 1068 | Training...
step 1069 | Training...
step 1070 | Training...
step 1071 | Training...
step 1072 | Training...
step 1073 | Training...
step 1074 | Training...
step 1075 | Training...
step 1076 | Training...
step 1077 | Training...
step 1078 | Training...
step 1079 | Training...
step 1080 | Training...
step 1081 | Training...
step 1082 | Training...
step 1083 | Training...
step 1084 | Training...
step 1085 | Training...
step 1086 | Training...
step 1087 | Training...
step 1088 | Training...
step 1089 | Training...
step 1090 | Training...
step 1091 | Training...
step 1092 | Training...
step 1093 | Training...
step 1094 | Training...
step 1095 | Training...
step 1096 | Training...
step 1097 | Training...
step 1098 | Training...
step 1099 | Training...
step 1100 | Training...
step 1101 | Training...
step 1102 | Training...
step 1103 | Training...
step 1104 | Training...
step 1105 | Training...
step 1106 | Training...
step 1107 | Training...
step 1108 | Training...
step 1109 | Training...
step 1110 | Training...
step 1111 | Training...
step 1112 | Training...
step 1113 | Training...
step 1114 | Training...
step 1115 | Training...
step 1116 | Training...
step 1117 | Training...
step 1118 | Training...
step 1119 | Training...
step 1120 | Training...
step 1121 | Training...
step 1122 | Training...
step 1123 | Training...
step 1124 | Training...
step 1125 | Training...
step 1126 | Training...
step 1127 | Training...
step 1128 | Training...
step 1129 | Training...
step 1130 | Training...
step 1131 | Training...
step 1132 | Training...
step 1133 | Training...
step 1134 | Training...
step 1135 | Training...
step 1136 | Training...
step 1137 | Training...
step 1138 | Training...
step 1139 | Training...
step 1140 | Training...
step 1141 | Training...
step 1142 | Training...
step 1143 | Training...
step 1144 | Training...
step 1145 | Training...
step 1146 | Training...
step 1147 | Training...
step 1148 | Training...
step 1149 | Training...
step 1150 | Training...
step 1151 | Training...
step 1152 | Training...
step 1153 | Training...
step 1154 | Training...
step 1155 | Training...
step 1156 | Training...
step 1157 | Training...
step 1158 | Training...
step 1159 | Training...
step 1160 | Training...
step 1161 | Training...
step 1162 | Training...
step 1163 | Training...
step 1164 | Training...
step 1165 | Training...
step 1166 | Training...
step 1167 | Training...
step 1168 | Training...
step 1169 | Training...
step 1170 | Training...
step 1171 | Training...
step 1172 | Training...
step 1173 | Training...
step 1174 | Training...
step 1175 | Training...
step 1176 | Training...
step 1177 | Training...
step 1178 | Training...
step 1179 | Training...
step 1180 | Training...
step 1181 | Training...
step 1182 | Training...
step 1183 | Training...
step 1184 | Training...
step 1185 | Training...
step 1186 | Training...
step 1187 | Training...
step 1188 | Training...
step 1189 | Training...
step 1190 | Training...
step 1191 | Training...
step 1192 | Training...
step 1193 | Training...
step 1194 | Training...
step 1195 | Training...
step 1196 | Training...
step 1197 | Training...
step 1198 | Training...
step 1199 | Training...
step 1200 | Training...
step 1201 | Training...
step 1202 | Training...
step 1203 | Training...
step 1204 | Training...
step 1205 | Training...
step 1206 | Training...
step 1207 | Training...
step 1208 | Training...
step 1209 | Training...
step 1210 | Training...
step 1211 | Training...
step 1212 | Training...
step 1213 | Training...
step 1214 | Training...
step 1215 | Training...
step 1216 | Training...
step 1217 | Training...
step 1218 | Training...
step 1219 | Training...
step 1220 | Training...
step 1221 | Training...
step 1222 | Training...
step 1223 | Training...
step 1224 | Training...
step 1225 | Training...
step 1226 | Training...
step 1227 | Training...
step 1228 | Training...
step 1229 | Training...
step 1230 | Training...
step 1231 | Training...
step 1232 | Training...
step 1233 | Training...
step 1234 | Training...
step 1235 | Training...
step 1236 | Training...
step 1237 | Training...
step 1238 | Training...
step 1239 | Training...
step 1240 | Training...
step 1241 | Training...
step 1242 | Training...
step 1243 | Training...
step 1244 | Training...
step 1245 | Training...
step 1246 | Training...
step 1247 | Training...
step 1248 | Training...
step 1249 | Training...
step 1250 | Training...
step 1251 | Training...
step 1252 | Training...
step 1253 | Training...
step 1254 | Training...
step 1255 | Training...
step 1256 | Training...
step 1257 | Training...
step 1258 | Training...
step 1259 | Training...
step 1260 | Training...
step 1261 | Training...
step 1262 | Training...
step 1263 | Training...
step 1264 | Training...
step 1265 | Training...
step 1266 | Training...
step 1267 | Training...
step 1268 | Training...
step 1269 | Training...
step 1270 | Training...
step 1271 | Training...
step 1272 | Training...
step 1273 | Training...
step 1274 | Training...
step 1275 | Training...
step 1276 | Training...
step 1277 | Training...
step 1278 | Training...
step 1279 | Training...
step 1280 | Training...
step 1281 | Training...
step 1282 | Training...
step 1283 | Training...
step 1284 | Training...
step 1285 | Training...
step 1286 | Training...
step 1287 | Training...
step 1288 | Training...
step 1289 | Training...
step 1290 | Training...
step 1291 | Training...
step 1292 | Training...
step 1293 | Training...
step 1294 | Training...
step 1295 | Training...
step 1296 | Training...
step 1297 | Training...
step 1298 | Training...
step 1299 | Training...
step 1300 | Training...
step 1301 | Training...
step 1302 | Training...
step 1303 | Training...
step 1304 | Training...
step 1305 | Training...
step 1306 | Training...
step 1307 | Training...
step 1308 | Training...
step 1309 | Training...
step 1310 | Training...
step 1311 | Training...
step 1312 | Training...
step 1313 | Training...
step 1314 | Training...
step 1315 | Training...
step 1316 | Training...
step 1317 | Training...
step 1318 | Training...
step 1319 | Training...
step 1320 | Training...
step 1321 | Training...
step 1322 | Training...
step 1323 | Training...
step 1324 | Training...
step 1325 | Training...
step 1326 | Training...
step 1327 | Training...
step 1328 | Training...
step 1329 | Training...
step 1330 | Training...
step 1331 | Training...
step 1332 | Training...
step 1333 | Training...
step 1334 | Training...
step 1335 | Training...
step 1336 | Training...
step 1337 | Training...
step 1338 | Training...
step 1339 | Training...
step 1340 | Training...
step 1341 | Training...
step 1342 | Training...
step 1343 | Training...
step 1344 | Training...
step 1345 | Training...
step 1346 | Training...
step 1347 | Training...
step 1348 | Training...
step 1349 | Training...
step 1350 | Training...
step 1351 | Training...
step 1352 | Training...
step 1353 | Training...
step 1354 | Training...
step 1355 | Training...
step 1356 | Training...
step 1357 | Training...
step 1358 | Training...
step 1359 | Training...
step 1360 | Training...
step 1361 | Training...
step 1362 | Training...
step 1363 | Training...
step 1364 | Training...
step 1365 | Training...
step 1366 | Training...
step 1367 | Training...
step 1368 | Training...
step 1369 | Training...
step 1370 | Training...
step 1371 | Training...
step 1372 | Training...
step 1373 | Training...
step 1374 | Training...
step 1375 | Training...
step 1376 | Training...
step 1377 | Training...
step 1378 | Training...
step 1379 | Training...
step 1380 | Training...
step 1381 | Training...
step 1382 | Training...
step 1383 | Training...
step 1384 | Training...
step 1385 | Training...
step 1386 | Training...
step 1387 | Training...
step 1388 | Training...
step 1389 | Training...
step 1390 | Training...
step 1391 | Training...
step 1392 | Training...
step 1393 | Training...
step 1394 | Training...
step 1395 | Training...
step 1396 | Training...
step 1397 | Training...
step 1398 | Training...
step 1399 | Training...
step 1400 | Training...
step 1401 | Training...
step 1402 | Training...
step 1403 | Training...
step 1404 | Training...
step 1405 | Training...
step 1406 | Training...
step 1407 | Training...
step 1408 | Training...
step 1409 | Training...
step 1410 | Training...
step 1411 | Training...
step 1412 | Training...
step 1413 | Training...
step 1414 | Training...
step 1415 | Training...
step 1416 | Training...
step 1417 | Training...
step 1418 | Training...
step 1419 | Training...
step 1420 | Training...
step 1421 | Training...
step 1422 | Training...
step 1423 | Training...
step 1424 | Training...
step 1425 | Training...
step 1426 | Training...
step 1427 | Training...
step 1428 | Training...
step 1429 | Training...
step 1430 | Training...
step 1431 | Training...
step 1432 | Training...
step 1433 | Training...
step 1434 | Training...
step 1435 | Training...
step 1436 | Training...
step 1437 | Training...
step 1438 | Training...
step 1439 | Training...
step 1440 | Training...
step 1441 | Training...
step 1442 | Training...
step 1443 | Training...
step 1444 | Training...
step 1445 | Training...
step 1446 | Training...
step 1447 | Training...
step 1448 | Training...
step 1449 | Training...
step 1450 | Training...
step 1451 | Training...
step 1452 | Training...
step 1453 | Training...
step 1454 | Training...
step 1455 | Training...
step 1456 | Training...
step 1457 | Training...
step 1458 | Training...
step 1459 | Training...
step 1460 | Training...
step 1461 | Training...
step 1462 | Training...
step 1463 | Training...
step 1464 | Training...
step 1465 | Training...
step 1466 | Training...
step 1467 | Training...
step 1468 | Training...
step 1469 | Training...
step 1470 | Training...
step 1471 | Training...
step 1472 | Training...
step 1473 | Training...
step 1474 | Training...
step 1475 | Training...
step 1476 | Training...
step 1477 | Training...
step 1478 | Training...
step 1479 | Training...
step 1480 | Training...
step 1481 | Training...
step 1482 | Training...
step 1483 | Training...
step 1484 | Training...
step 1485 | Training...
step 1486 | Training...
step 1487 | Training...
step 1488 | Training...
step 1489 | Training...
step 1490 | Training...
step 1491 | Training...
step 1492 | Training...
step 1493 | Training...
step 1494 | Training...
step 1495 | Training...
step 1496 | Training...
step 1497 | Training...
step 1498 | Training...
step 1499 | Training...
step 1500 | Training...
step 1501 | Training...
step 1502 | Training...
step 1503 | Training...
step 1504 | Training...
